redmine_milestone, github_milestone_name, due_date_yyyy_mm_dd
4.0 - week of March 10, Dataverse 4.0: Beta 1, 2014-0601
4.0 - week of March 17, Dataverse 4.0: Beta 1, 2014-0601
4.0 - week of March 24, Dataverse 4.0: Beta 1, 2014-0601
4.0 - week of March 31, Dataverse 4.0: Beta 1, 2014-0601
4.0 - week of April 7, Dataverse 4.0: Beta 1, 2014-0601
4.0 - week of April 14, Dataverse 4.0: Beta 1, 2014-0601
4.0 - week of April 21, Dataverse 4.0: Beta 1, 2014-0601
4.0 - week of April 28, Dataverse 4.0: Beta 1, 2014-0601
4.0 - Beta1, Dataverse 4.0: Beta 1, 2014-0601
4.0 - week of May 12, Dataverse 4.0: Beta 2, 2014-0601
4.0-Beta 1.1, Dataverse 4.0: Beta 1, 2014-0601
4.0 - week of May 19, Dataverse 4.0: Beta 1, 2014-0601
4.0 - week of May 26, Dataverse 4.0: Beta 1, 2014-0601
4.0 - week of June 2, Dataverse 4.0: Beta 1, 2014-0601
4.0 - week of June 9, Dataverse 4.0: Beta 1, 2014-0601
4.0 - week of June 16, Dataverse 4.0: Beta 1, 2014-0601
4.0 - week of June 23, Dataverse 4.0: Beta 1, 2014-0601
4.0 - Final, Dataverse 4.0: Beta 1, 2014-0601
3.6 patch, Dataverse 3.6: Patch, 2014-0601
4.0 - Triage, Dataverse 4.0 Triage, 2014-0610
4.0 - review for post 4.0, Dataverse 4.0: Beta 1, 2014-0601
4.0 - review for weekly assignment, Dataverse 4.0: Beta 1, 2014-0601
4.1, Dataverse 4.0: Release, 2014-1027
"Future: Ingest, File Upload", Future - Dataverse 4.x, None
Future: Internationalization, Future - Dataverse 4.x, None
"Future: Performance, Downloads", Future - Dataverse 4.x, None
Future: Security / Shibboleth, Future - Dataverse 4.x, None
Future: Subset / Analysis separation, Future - Dataverse 4.x, None
Future: World Map integration, Future - Dataverse 4.x, None
Review Post 4.0, Future - Dataverse 4.x, None
Review: Clean up issues, Future - Dataverse 4.x, None
Review: Harvesting / new data, Future - Dataverse 4.x, None
Review: before each new release, Future - Dataverse 4.x, None
Review: for 4.1, Future - Dataverse 4.x, None
